,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
5578,London Grammar,If You Wait (Deluxe Edition),Interlude - Live,6Z1Rr5pQZMR3fvJaEYksnY,0.618,0.123,11,-14.492,0,0.0338,0.963,9.61e-06,0.0798,0.0627,121.925,244656,4,11.0
5579,M83,"Hurry up, We're Dreaming",Wait,01Q3OyB05mLgH01fpdAMPP,0.426,0.228,2,-10.552,1,0.0322,0.198,0.13,0.0832,0.0822,147.994,343253,4,11.0
5580,Bastille,All This Bad Blood,Things We Lost In The Fire,6qOxF7JKKNegcuocn14ukr,0.587,0.918,4,-4.878,0,0.0581,0.0636,0,0.267,0.629,134.055,240747,4,17.0
5581,Bastille,All This Bad Blood,What Would You Do,2WwzQJt4hG7YC6x16ZTYFM,0.581,0.732,0,-6.024,1,0.0417,0.382,0.00254,0.385,0.36,89.994,183333,4,10.0
5582,Bastille,Laura Palmer,Laura Palmer,5N7CaBng9A9XCIbWNsFtZT,0.577,0.786,8,-5.545,1,0.0841,0.0228,0,0.123,0.363,135.137,186280,4,19.0
5583,Bastille,Overjoyed,Overjoyed,4aTQPS5OoaPBtdGfkSa0D9,0.439,0.742,0,-5.251,1,0.0623,0.218,4.25e-05,0.102,0.116,158.043,204869,4,10.0
5584,Bastille,All This Bad Blood,These Streets,1y4S5YgR2Ikj9ffihnoGRH,0.614,0.766,9,-6.079,0,0.0386,0.266,2.1e-05,0.176,0.51,97.51,175147,4,13.0
5585,Bastille,All This Bad Blood,"Weight Of Living, Pt. II",1zahcPiknqZfH5hqdhzA2V,0.573,0.802,0,-5.087,1,0.0519,0.0231,4.04e-06,0.101,0.422,129.969,174840,4,10.0
5586,Bastille,All This Bad Blood,Icarus,3aO4GaEhtu1UanIGKefdD3,0.583,0.778,4,-6.578,0,0.0459,0.0712,1.23e-06,0.0753,0.673,134.945,225040,4,17.0
5587,Bastille,All This Bad Blood,Daniel In The Den,0ZasZDrI3OlDnkR5b13kj2,0.386,0.562,5,-6.938,1,0.0543,0.785,1.93e-05,0.166,0.258,114.066,188707,3,15.0
5588,Bastille,All This Bad Blood,Get Home,26xZ7YolhIunYUZXaxqAWK,0.582,0.537,9,-6.803,0,0.0435,0.73,7.78e-05,0.107,0.21,115.588,191187,4,13.0
5589,Bastille,All This Bad Blood,"Weight Of Living, Pt. I",0AVJh4bN0Im3Rlpq1U934F,0.714,0.752,8,-5.287,1,0.0337,0.648,0,0.243,0.774,130.008,206973,4,8.0
5590,All Time Low,Don't Panic,The Reckless And The Brave,2oiPju78ZfnBRePyM95iq6,0.459,0.993,1,-2.365,1,0.126,0.000299,0,0.222,0.642,160.108,199491,4,1.0
5591,All Time Low,Don't Panic,Backseat Serenade,47eL0bckn5g3k5VBwgu969,0.512,0.965,6,-3.692,1,0.0453,6.38e-05,2.9e-05,0.173,0.493,140.072,201076,4,1.0
5592,All Time Low,Don't Panic,For Baltimore,6kYGBXtrbXtl1vcbmD1bWG,0.363,0.952,11,-4.155,1,0.067,7.47e-05,0,0.0887,0.464,166.727,188992,4,1.0
5593,All Time Low,Don't Panic,Paint You Wings,5WHACgW5H1aCA2FXILZt8D,0.415,0.98,1,-3.994,0,0.0838,5.04e-05,8.16e-05,0.286,0.569,160.082,220037,4,4.0
5594,All Time Low,Don't Panic: It's Longer Now!,"Oh, Calamity!",02Yrhsjo8H8UkjOm0kr7ca,0.524,0.895,7,-4.625,0,0.0423,0.00828,0,0.0879,0.557,157.052,226328,4,4.0
5595,All Time Low,Don't Panic: It's Longer Now!,For Baltimore (Acoustic),0uG7aO1e59rc83mD93ZE6C,0.534,0.476,3,-7.773,0,0.0278,0.101,0,0.0488,0.506,150.05,209359,4,17.0
5596,All Time Low,Don't Panic: It's Longer Now!,Somewhere In Neverland (Acoustic),5CVXM0oPrmzZykiMP6FMr5,0.61,0.475,1,-7.2,1,0.0279,0.13,0,0.0802,0.436,123.02,220598,4,10.0
5597,All Time Low,Don't Panic: It's Longer Now!,The Reckless and the Brave (Acoustic),4gWBr7M8BcD1GkddMEMVIN,0.553,0.454,1,-7.042,1,0.0279,0.131,0,0.0981,0.44,140.023,217506,4,10.0
5598,All Time Low,Don't Panic: It's Longer Now!,Backseat Serenade (Acoustic),1cyp7q6L1RMbACJVr01DWU,0.641,0.458,5,-6.315,1,0.0272,0.211,0,0.107,0.494,130.026,194811,4,16.0
5599,The Heavy,The Glorious Dead,Be Mine,45fA23uWKnBCaIXcPOkRgl,0.595,0.726,11,-6.499,0,0.0315,0.000179,0.000367,0.487,0.743,97.006,253641,4,14.0
5600,Thirty Seconds To Mars,This Is War,Kings And Queens,4sjLcE0GQ6urc4iUXsUPe9,0.293,0.817,8,-5.432,1,0.0852,0.0401,3.4e-05,0.13,0.145,165.0,347667,4,1.0
